pregnancy.day,sow,foetus,sex,weight,BPD_1,BPD_2,CVD_1,CVD_2,ROL_1,ROL_2,AC_1,AC_2,ASD_1,ASD_2,ATD_1,ATD_2,HL_1,HL_2
64,1,1,m,197.9,2.91,2.79,1.13,1.18,5.36,5.3,11.93,12.45,4.53,4.55,3.19,3.32,2.58,2.55
64,1,2,m,204.5,2.87,2.76,1.03,1.17,5.53,5.55,12.59,11.99,4.69,4.53,3.42,3.4,2.66,2.76
64,1,4,m,204.4,2.56,2.56,1.3,1.24,5.33,5.45,13.96,14.98,4.06,4.08,3.76,4.32,2.5,2.27
64,1,8,m,234.2,2.76,2.75,0.969,1.02,5.09,5.15,14.25,14.66,4.88,4.97,4.16,4.14,2.26,2.33
64,2,1,m,174.1,2.68,2.71,1.01,0.98,5.45,5.37,13.26,12.99,4.65,4.63,3.65,3.61,2.19,2.27
64,2,4,m,142.8,2.45,2.32,1.16,1.13,5.36,5.41,11.8,12.12,4.27,4.09,3.24,3.41,1.81,1.77
64,2,5,m,155.1,2.68,2.61,1.12,1.16,5.28,5,13.07,12.92,4.47,4.32,3.8,3.72,2.04,1.9
64,2,6,m,154.2,2.72,2.78,1.15,1.14,5.3,5.4,12.77,12.37,4.47,4.48,3.37,3.4,2.02,1.85
64,2,9,m,155.6,2.68,2.65,1.06,1.02,5.08,5.15,12.18,12.24,4.4,4.38,3.23,3.27,1.84,1.8
92,3,4,m,600,3.4,3.56,1.35,1.4,8.15,8.17,19.4,19.96,5.83,6.23,5.53,5.74,2.41,2.53
92,3,5,m,670,3.94,3.96,1.5,1.43,8.14,8.13,20.69,20.55,6.53,5.59,6.07,5.98,2.95,2.86
92,3,6,m,800,3.73,3.69,1.32,1.32,8.24,8.14,21.29,21.28,7.27,7.07,5.25,5.27,2.6,2.77
92,3,10,m,580,3.47,3.337,1.26,1.19,7.98,7.94,19.3,19.47,6.37,6.48,4.86,4.97,2.61,2.6
79,4,2,m,550,3.3,3.38,1.27,1.23,7.03,7.05,18.08,18.2,6.35,5.95,4.9,5.2,2.19,2.07
79,4,5,m,530,3.33,3.1,1.32,1.32,7.19,7.26,18.42,18.88,6.02,6.33,5.05,5.12,2.45,2.37
79,4,6,m,430,3.1,3.17,1.06,1.04,6.91,6.99,17.38,17.45,5.61,5.62,5.21,5.06,2.1,2.36
79,4,11,m,430,3.02,3.02,1.1,1.09,7.34,7.14,18.69,18.5,6.13,6.08,5.38,5.33,2.6,2.43
79,5,1,m,280,3.19,3.18,1.27,1.3,6.51,6.68,16.17,15.96,5.27,5.25,4.56,4.86,2.07,2.05
79,5,2,m,360,3.38,3.28,1.09,1.09,6.53,6.57,17.03,16.99,5.32,5.36,5.19,5.03,2.03,2.04
